id,name,active,created_at,updated_at
1,coachingStrategies,t,2024-01-19 20:22:57.030,2024-05-25 20:22:57.030
2,academicIntegrity,t,2024-07-06 20:22:57.030,2024-09-08 20:22:57.030
3,dei,t,2024-03-10 20:22:57.030,2024-08-05 20:22:57.030
4,communitySafety,t,2024-05-09 20:22:57.030,2024-04-23 20:22:57.030
5,reading,t,2024-01-05 20:22:57.030,2024-04-17 20:22:57.030
6,collegePrep,t,2023-11-10 20:22:57.030,2024-03-20 20:22:57.030
7,collegeList,t,2024-01-17 20:22:57.030,2024-07-18 20:22:57.030
8,collegeApps,t,2024-06-06 20:22:57.030,2024-07-16 20:22:57.030
9,applicationEssays,t,2024-02-27 20:22:57.030,2024-08-07 20:22:57.030
10,financialAid,t,2024-09-17 20:22:57.030,2024-01-17 20:22:57.030
11,essayPlanning,t,2024-06-12 20:22:57.030,2024-05-29 20:22:57.030
12,essayFeedback,t,2024-07-06 20:22:57.030,2024-04-24 20:22:57.030
13,algebraOne,t,2024-07-15 20:22:57.030,2023-11-16 20:22:57.030
14,algebraTwo,t,2024-06-17 20:22:57.030,2024-03-12 20:22:57.030
15,geometry,t,2024-07-08 20:22:57.030,2024-07-02 20:22:57.030
16,trigonometry,t,2024-05-02 20:22:57.030,2024-03-18 20:22:57.030
17,precalculus,t,2024-09-12 20:22:57.030,2024-07-13 20:22:57.030
18,calculusAB,t,2023-10-31 20:22:57.030,2023-12-17 20:22:57.030
19,calculusBC,t,2024-02-02 20:22:57.030,2024-02-03 20:22:57.030
20,statistics,t,2024-07-03 20:22:57.030,2024-03-14 20:22:57.030
21,biology,t,2023-10-29 20:22:57.030,2024-02-13 20:22:57.030
22,chemistry,t,2023-10-29 20:22:57.030,2024-01-08 20:22:57.030
23,physicsOne,t,2023-11-15 20:22:57.030,2024-06-19 20:22:57.030
24,environmentalScience,t,2023-12-09 20:22:57.030,2024-08-26 20:22:57.030
25,ushistory,t,2024-09-18 20:22:57.030,2024-04-04 20:22:57.030
26,worldhistory,t,2023-11-07 20:22:57.030,2024-03-29 20:22:57.030
27,humanitiesEssays,t,2023-10-27 20:22:57.030,2024-03-31 20:22:57.030
