st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
MA,1 LT Charles W. Whitcomb School,250732002639,Marlborough,2507320,Marlborough,1752,Marlborough,1752,Yes participating without using any Provision or the CEO,944,577,,6th Grade,8th Grade
MN,112 ALC Independent Study,270819004415,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,34,6,8,9th Grade,12th Grade
MN,112 ALC MIDDLE SCHOOL,270819004622,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,390,118,148,6th Grade,8th Grade
MN,112 ALC Seat-Based,270819005118,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,0,,,6th Grade,12th Grade
MI,12th Street Elementary,262895007802,Portage Public Schools,2628950,PORTAGE,49024,PORTAGE,49024,Yes participating without using any Provision or the CEO,574,,175,Prekindergarten,5th Grade
FL,130-E-SE-2,120144010794,ORANGE,1201440,ORLANDO,32801,ORLANDO,32801,,,,,,
MN,180 Degrees / Youth Shelter,273351012806,ST. CLOUD PUBLIC SCHOOL DISTRICT,2733510,SAINT CLOUD,56301,SAINT CLOUD,56301,No,0,,,6th Grade,12th Grade
MN,196Online Elementary,273239005353,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,0,,,Kindergarten,5th Grade
MN,196Online High School,273239005352,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,111,35,48,9th Grade,12th Grade
MN,196Online Middle School,273239005351,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,0,,,6th Grade,8th Grade
MN,199 Online High School,271503005356,INVER GROVE HEIGHTS SCHOOLS,2715030,INVER GROVE HEIGHTS,55076,INVER GROVE HEIGHTS,55076,No,35,18,22,9th Grade,12th Grade
IN,21st Century Charter Sch of Gary,180004602162,21st Century Charter Sch of Gary,1800046,Gary,46402,Gary,46402,Yes under Community Eligibility Option (CEO),1213,1010,956,Kindergarten,12th Grade
CA,21st Century Learning Institute,060429013779,Beaumont Unified,0604290,Beaumont,92223,Beaumont,92223,,336,137,242,Kindergarten,12th Grade
IL,21st Century Primary Center,173081003429,Park Forest SD 163,1730810,Park Forest,60466,Park Forest,60466,Yes under Community Eligibility Option (CEO),147,,120,Kindergarten,3rd Grade
MN,270 - HAP - IS,270002504573,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,,10th Grade,12th Grade
MN,270 HOPKINS ALTERNATIVE,270002502875,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,,9th Grade,12th Grade
MN,270 HOPKINS NORTH JR HIGH ALC,270002503397,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,,7th Grade,12th Grade
MN,270 HOPKINS WEST JR HIGH ALC,270002503396,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,,7th Grade,9th Grade
MN,277 WESTONKA AREA LEARNING ACADEMY,270002503554,Intermediate School District 287,2700025,MINNETRISTA,55364,MINNETRISTA,55364,No,0,,,9th Grade,12th Grade
MN,279 Excel,272520012756,OSSEO PUBLIC SCHOOL DISTRICT,2725200,MAPLE GROVE,55369,MAPLE GROVE,55369,No,0,,,6th Grade,12th Grade
MN,279Online Learning Program 6-8,272520005370,OSSEO PUBLIC SCHOOL DISTRICT,2725200,BROOKLYN PARK,55428,BROOKLYN PARK,55428,No,98,32,70,6th Grade,8th Grade
MN,279Online Learning Program 9-12,272520005371,OSSEO PUBLIC SCHOOL DISTRICT,2725200,BROOKLYN PARK,55428,BROOKLYN PARK,55428,No,182,48,103,9th Grade,12th Grade
MN,279Online Learning Program K-5,272520005369,OSSEO PUBLIC SCHOOL DISTRICT,2725200,BROOKLYN PARK,55428,BROOKLYN PARK,55428,No,82,26,54,Kindergarten,5th Grade
CO,27J Online Academy,080258006836,School District 27J,0802580,BRIGHTON,80601,BRIGHTON,80601,No,271,,,6th Grade,12th Grade
MN,283 ST LOUIS PK INDEPENDENT STUDY,270002503562,Intermediate School District 287,2700025,SAINT LOUIS PARK,55426,SAINT LOUIS PARK,55426,No,0,,,9th Grade,12th Grade
MN,283-IND STDY 15 AND UNDER - I.S.,270002504216,Intermediate School District 287,2700025,SAINT LOUIS PARK,55426,SAINT LOUIS PARK,55426,No,0,,,9th Grade,12th Grade
MN,283-ST. LOUIS PARK ALC,270002503561,Intermediate School District 287,2700025,SAINT LOUIS PARK,55426,SAINT LOUIS PARK,55426,No,0,,,9th Grade,12th Grade
FL,34-M-W-7  (34-M-N-7),120144009033,ORANGE,1201440,ORLANDO,32801,ORLANDO,32801,No,0,,,6th Grade,8th Grade
ID,3B JUVENILE DETENTION CENTER,160153000605,IDAHO FALLS DISTRICT,1601530,IDAHO FALLS,83401,IDAHO FALLS,83401,No,4,,,4th Grade,12th Grade
MN,4122 - Eagle Ridge Academy - ALC,270002512817,Intermediate School District 287,2700025,MINNETONKA,55343,MINNETONKA,55343,No,0,,,9th Grade,12th Grade
MN,4122 - Eagle Ridge Academy - IS,270002504823,Intermediate School District 287,2700025,MINNETONKA,55343,MINNETONKA,55343,No,0,,,9th Grade,12th Grade
MN,4126 - PRAIRIE SEEDS ACADEMY - IS,270002504476,Intermediate School District 287,2700025,BROOKLYN PARK,55428,BROOKLYN PARK,55428,No,0,,,9th Grade,12th Grade
KS,500 Reach,200795002097,Kansas City,2007950,Kansas City,66612,Kansas City,66612,Yes participating without using any Provision or the CEO,188,,3,12th Grade,12th Grade
CO,5280 High School,080336006756,School District No. 1 in the county of Denver and State of C,0803360,DENVER,80223,DENVER,80223,Yes under Community Eligibility Option (CEO),92,,37,9th Grade,12th Grade
MI,54th Street Academy,262016008622,Kelloggsville Public Schools,2620160,GRAND RAPIDS,49548,GRAND RAPIDS,49548,Yes under Community Eligibility Option (CEO),80,,71,9th Grade,12th Grade
MI,56 Building at Georgetown,261884009043,Hudsonville Public School District,2618840,HUDSONVILLE,49426,HUDSONVILLE,49426,Yes participating without using any Provision or the CEO,618,,129,5th Grade,6th Grade
MN,5RiversOnline Elementary,279144305446,Goodhue County Education District,2791443,RED WING,55066,RED WING,55066,No,32,5,5,Kindergarten,6th Grade
MN,5RiversOnline Secondary,279144305447,Goodhue County Education District,2791443,RED WING,55066,RED WING,55066,No,182,50,58,7th Grade,12th Grade
MN,6-12th Grade Building,270015000652,CLINTON-GRACEVILLE-BEARDSLEY,2700150,GRACEVILLE,56240,GRACEVILLE,56240,Yes participating without using any Provision or the CEO,130,25,35,6th Grade,12th Grade
MN,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,272385001044,North St. Paul-Maplewood Oakdale,2723850,NORTH SAINT PAUL,55109,NORTH SAINT PAUL,55109,No,1,,,6th Grade,12th Grade
MN,622 Online Elementary School,272385005410,North St. Paul-Maplewood Oakdale,2723850,NORTH SAINT PAUL,55109,NORTH SAINT PAUL,55109,No,0,,,Kindergarten,5th Grade
MN,622 Online High School,272385005412,North St. Paul-Maplewood Oakdale,2723850,NORTH SAINT PAUL,55109,NORTH SAINT PAUL,55109,No,114,56,78,9th Grade,12th Grade
MN,622 Online Middle School,272385005411,North St. Paul-Maplewood Oakdale,2723850,NORTH SAINT PAUL,55109,NORTH SAINT PAUL,55109,No,0,,,6th Grade,8th Grade
GA,7 Pillars Career Academy,130123004364,Clayton County,1301230,Forest Park,30297,Forest Park,30297,Yes under Community Eligibility Option (CEO),271,196,196,6th Grade,10th Grade
CO,70 Online,080615006496,Pueblo County School District 70,0806150,PUEBLO,81001,PUEBLO,81001,No,197,,,Kindergarten,12th Grade
MN,882 Online 6-12,272139005499,MONTICELLO PUBLIC SCHOOL DISTRICT,2721390,MONTICELLO,55362,MONTICELLO,55362,No,67,14,17,6th Grade,12th Grade
MN,882 Online K-5,272139005498,MONTICELLO PUBLIC SCHOOL DISTRICT,2721390,MONTICELLO,55362,MONTICELLO,55362,No,0,,,Kindergarten,5th Grade
MN,916 MAHTOMEDI ACADEMY,270226404430,NORTHEAST METRO 916,2702264,WHITE BEAR LAKE,55110,WHITE BEAR LAKE,55110,Yes participating without using any Provision or the CEO,58,34,37,9th Grade,12th Grade
MN,917 CASE,270002605108,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,Yes under Community Eligibility Option (CEO),4,,,Prekindergarten,12th Grade
MN,917 DASH,270002603897,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,No,26,16,16,Prekindergarten,12th Grade
MN,917 DCALS Main,270002602155,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,No,108,34,46,8th Grade,12th Grade
MN,917 DCALS Main Extended Day EDOP,270002604253,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,No,0,,,9th Grade,12th Grade
MN,917 DCALS North,270002604250,INTERMEDIATE SCHOOL DISTRICT 917,2700026,WEST SAINT PAUL,55118,WEST SAINT PAUL,55118,Yes under Community Eligibility Option (CEO),77,36,46,9th Grade,12th Grade
MN,917 DCALS North Extended Day (EDOP),270002604256,INTERMEDIATE SCHOOL DISTRICT 917,2700026,WEST SAINT PAUL,55118,WEST SAINT PAUL,55118,No,0,,,9th Grade,12th Grade
MN,917 Deaf/Hard of Hearing,270002602124,INTERMEDIATE SCHOOL DISTRICT 917,2700026,SOUTH SAINT PAUL,55075,SOUTH SAINT PAUL,55075,No,26,8,11,Prekindergarten,12th Grade
MN,917 IDEA,270002602121,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,Yes under Community Eligibility Option (CEO),36,27,27,Kindergarten,12th Grade
MN,917 New Chance,270002604798,INTERMEDIATE SCHOOL DISTRICT 917,2700026,HASTINGS,55033,HASTINGS,55033,No,4,,,6th Grade,12th Grade
MN,917 PACES,270002602125,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,No,29,5,7,Kindergarten,12th Grade
MN,917 Riverside School,270002602600,INTERMEDIATE SCHOOL DISTRICT 917,2700026,HASTINGS,55033,HASTINGS,55033,Yes participating without using any Provision or the CEO,22,17,18,6th Grade,12th Grade
MN,917 SUN,270002604218,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,Yes under Community Eligibility Option (CEO),88,59,62,Kindergarten,12th Grade
MN,917 TEA,270002604371,INTERMEDIATE SCHOOL DISTRICT 917,2700026,APPLE VALLEY,55124,APPLE VALLEY,55124,Yes under Community Eligibility Option (CEO),34,20,21,Prekindergarten,12th Grade
MN,917 TESA,270002602111,INTERMEDIATE SCHOOL DISTRICT 917,2700026,ROSEMOUNT,55068,ROSEMOUNT,55068,Yes under Community Eligibility Option (CEO),85,40,45,7th Grade,12th Grade
KY,A B Chandler Elementary School,210271000573,Henderson County,2102710,Corydon,42406,Corydon,42406,Yes under Community Eligibility Option (CEO),266,154,167,Kindergarten,5th Grade
ID,A B MCDONALD ELEMENTARY SCHOOL,160222000390,MOSCOW DISTRICT,1602220,MOSCOW,83843,MOSCOW,83843,Yes participating without using any Provision or the CEO,321,39,77,Prekindergarten,5th Grade
IL,A B Shepard High Sch (Campus),170654000339,CHSD 218,1706540,Palos Heights,60463,Palos Heights,60463,Yes under Community Eligibility Option (CEO),1960,,1215,9th Grade,12th Grade
AL,A C Moore PK,010135002667,Escambia County,0101350,Atmore,36502,Atmore,36502,Yes participating without using any Provision or the CEO,94,,,Prekindergarten,Prekindergarten
MA,A Drewicz Elementary,250711001062,Lynn,2507110,Lynn,1905,Lynn,1905,Yes under Community Eligibility Option (CEO),492,397,,Kindergarten,5th Grade
MA,A E Angier,250861001356,Newton,2508610,Waban,2468,Waban,2468,Yes participating without using any Provision or the CEO,384,29,,Kindergarten,5th Grade
IL,A F Ames Elem School,173399003491,Riverside SD 96,1733990,Riverside,60546,Riverside,60546,Yes participating without using any Provision or the CEO,471,,131,Prekindergarten,5th Grade
MA,A F Maloney,250271501078,Blackstone-Millville,2502715,Blackstone,1504,Blackstone,1504,Yes under Community Eligibility Option (CEO),238,101,,4th Grade,5th Grade
ID,A H BUSH ELEMENTARY SCHOOL,160153000252,IDAHO FALLS DISTRICT,1601530,IDAHO FALLS,83402,IDAHO FALLS,83402,Yes participating without using any Provision or the CEO,395,150,281,Prekindergarten,6th Grade
IL,A J Katzenmaier Academy,170011004814,North Chicago SD 187,1700110,North Chicago,60064,North Chicago,60064,Yes under Community Eligibility Option (CEO),320,,316,4th Grade,5th Grade
AZ,A J Mitchell Elementary School,040553000451,Nogales Unified District (4457),0405530,NOGALES,85621,NOGALES,85621,Yes under Community Eligibility Option (CEO),306,181,,Kindergarten,5th Grade
ID,A J WINTERS ELEMENTARY SCHOOL,160024000016,BEAR LAKE COUNTY DISTRICT,1600240,MONTPELIER,83254,MONTPELIER,83254,Yes participating without using any Provision or the CEO,286,32,134,Prekindergarten,5th Grade
IN,A K Smith Area Career Center,180657000433,Michigan City Area Schools,1806570,Michigan City,46360,Michigan City,46360,Yes under Community Eligibility Option (CEO),0,,,6th Grade,12th Grade
AL,A M Windham Elementary School,010108001767,Daleville City,0101080,Daleville,36322,Daleville,36322,Yes under Community Eligibility Option (CEO),507,386,356,Prekindergarten,4th Grade
KY,A M Yealey Elementary School,210051000079,Boone County,2100510,Florence,41042,Florence,41042,Yes under Community Eligibility Option (CEO),576,222,247,Prekindergarten,5th Grade
ID,A Neil DeAtley Career Technical Education Center,160186001119,LEWISTON INDEPENDENT DISTRICT,1601860,LEWISTON,83501,LEWISTON,83501,No,0,,,9th Grade,12th Grade
IL,A O Marshall Elem School,172058002323,Joliet PSD 86,1720580,Joliet,60432,Joliet,60432,Yes under Community Eligibility Option (CEO),235,,230,Kindergarten,5th Grade
CA,A Place to Grow,062827013394,Ojai Unified,0628270,Ojai,93023,Ojai,93024,,,,,,
IL,A Vito Martinez Middle School,174007004037,Valley View CUSD 365U,1740070,Romeoville,60446,Romeoville,60446,Yes under Community Eligibility Option (CEO),610,,342,6th Grade,8th Grade
MS,A W JAMES ELEMENTARY SCHOOL,280018701410,SUNFLOWER CTY CONS SCHOOL DISTRICT,2800187,DREW,38737,DREW,38737,Yes under Community Eligibility Option (CEO),203,118,203,Prekindergarten,5th Grade
ID,A W JOHNSON ELEMENTARY SCHOOL,160108000196,FIRTH DISTRICT,1601080,FIRTH,83236,FIRTH,83236,Yes participating without using any Provision or the CEO,269,45,118,Prekindergarten,4th Grade
AZ,A+ Charter Schools,040099803681,A+ Charter Schools (1000166),0400998,Maricopa,85138,Maricopa,85138,No,306,,,6th Grade,12th Grade
IL,A-C Central Elementary School,170010505359,A-C Central CUSD 262,1700105,Chandlerville,62627,Chandlerville,62627,Yes participating without using any Provision or the CEO,131,,63,Prekindergarten,4th Grade
IL,A-C Central High School,170010505357,A-C Central CUSD 262,1700105,Ashland,62612,Ashland,62612,Yes participating without using any Provision or the CEO,106,,41,9th Grade,12th Grade
IL,A-C Central Middle School,170010500245,A-C Central CUSD 262,1700105,Ashland,62612,Ashland,62612,Yes participating without using any Provision or the CEO,91,,43,5th Grade,8th Grade
LA,A. A. Nelson Elementary School,220033000255,Calcasieu Parish,2200330,Lake Charles,70605,Lake Charles,70605,Yes participating without using any Provision or the CEO,772,,419,Prekindergarten,5th Grade
CT,A. Baldwin Middle School,090180000328,Guilford School District,0901800,Guilford,6437,Guilford,6437,Yes participating without using any Provision or the CEO,483,,53,5th Grade,6th Grade
AZ,A. C. E.,040463000999,Marana Unified District (4404),0404630,MARANA,85653,MARANA,85653,No,0,,,7th Grade,12th Grade
MA,A. C. Whelan Elementary School,251005001619,Revere,2510050,Revere,2151,Revere,2151,Yes under Community Eligibility Option (CEO),684,423,,Kindergarten,5th Grade
FL,A. CRAWFORD MOSLEY HIGH SCHOOL,120009000067,BAY,1200090,LYNN HAVEN,32444,LYNN HAVEN,32444,Yes participating without using any Provision or the CEO,1838,538,634,9th Grade,12th Grade
CA,A. E. Arnold Elementary,061044001166,Cypress Elementary,0610440,Cypress,90630,Cypress,90630,Yes participating without using any Provision or the CEO,595,173,299,Kindergarten,6th Grade
LA,A. E. Phillips Laboratory School,220099000750,Lincoln Parish,2200990,Ruston,71272,Ruston,71272,Yes participating without using any Provision or the CEO,436,,47,Kindergarten,8th Grade
MN,A. G. A. P. E. TEEN PARENT,273384001052,Saint Paul Public Schools,2733840,SAINT PAUL,55104,SAINT PAUL,55104,Yes under Community Eligibility Option (CEO),37,33,35,5th Grade,12th Grade
CA,A. G. Cook Elementary,061488001834,Garden Grove Unified,0614880,Garden Grove,92844,Garden Grove,92844,Yes under Community Eligibility Option (CEO),355,122,238,Kindergarten,6th Grade
FL,A. GARY WALSINGHAM ACADEMY,120009008970,BAY,1200090,PANAMA CITY BEACH,32407,PANAMA CITY BEACH,32407,Yes participating without using any Provision or the CEO,423,164,223,Prekindergarten,4th Grade
CA,A. H. Morgan Elementary,063237004995,Rialto Unified,0632370,Rialto,92376,Rialto,92376,Yes under Community Eligibility Option (CEO),466,265,388,Kindergarten,5th Grade
CT,A. I. Prince Technical High School,090000201136,Connecticut Technical Education and Career System,0900002,Hartford,6106,Hartford,6106,Yes under Community Eligibility Option (CEO),718,,494,9th Grade,12th Grade
MA,A. Irvin Studley Elementary School,250219000097,Attleboro,2502190,Attleboro,2703,Attleboro,2703,Yes under Community Eligibility Option (CEO),349,136,,Kindergarten,4th Grade
CA,A. J. Dorsa Elementary,060231000103,Alum Rock Union Elementary,0602310,San Jose,95122,San Jose,95122,Yes under Community Eligibility Option (CEO),286,144,249,Kindergarten,5th Grade
FL,A. K. SUTER ELEMENTARY SCHOOL,120051000811,ESCAMBIA,1200510,PENSACOLA,32503,PENSACOLA,32503,Yes participating without using any Provision or the CEO,538,215,264,Prekindergarten,5th Grade
CA,A. L. Conner Elementary,061970010780,Kings Canyon Joint Unified,0619700,Orange Cove,93646,Orange Cove,93646,Yes under Community Eligibility Option (CEO),331,268,326,Kindergarten,5th Grade
FL,A. L. MEBANE MIDDLE SCHOOL,120003000018,ALACHUA,1200030,ALACHUA,32615,ALACHUA,32615,Yes under Community Eligibility Option (CEO),379,206,226,6th Grade,8th Grade
CA,A. M. Thomas Middle,062295007772,Lost Hills Union Elementary,0622950,Lost Hills,93249,Lost Hills,93249,,78,41,55,6th Grade,8th Grade
CA,A. M. Winn Waldorf-Inspired,063384005217,Sacramento City Unified,0633840,Sacramento,95827,Sacramento,95827,Yes under Community Eligibility Option (CEO),389,167,247,Kindergarten,8th Grade
MD,A. Mario Loiederman Middle,240048001446,Montgomery County Public Schools,2400480,Silver Spring,20906,Silver Spring,20906,Yes participating without using any Provision or the CEO,981,379,521,6th Grade,8th Grade
FL,A. PHILIP RANDOLPH ACADEMIES,120048000773,DUVAL,1200480,JACKSONVILLE,32209,JACKSONVILLE,32209,Yes under Community Eligibility Option (CEO),341,240,240,8th Grade,12th Grade
CT,A. W. Cox School,090180000329,Guilford School District,0901800,Guilford,6437,Guilford,6437,Yes participating without using any Provision or the CEO,260,,44,Kindergarten,4th Grade
MS,A. W. WATSON  ELEMENTARY,280102001213,CLAIBORNE CO SCHOOL DIST,2801020,PORT GIBSON,39150,PORT GIBSON,39150,Yes under Community Eligibility Option (CEO),518,295,518,Prekindergarten,5th Grade
CT,A. Ward Spaulding School,090447000903,Suffield School District,0904470,Suffield,6078,Suffield,6078,Yes participating without using any Provision or the CEO,461,,75,Prekindergarten,2nd Grade
CT,A.B. Skane Center,090045000085,Bridgeport School District,0900450,Bridgeport,6606,Bridgeport,6606,Yes under Community Eligibility Option (CEO),190,,166,Prekindergarten,Kindergarten
LA,A.C. Alexander School,220084000578,Jefferson Parish,2200840,Kenner,70065,Kenner,70065,Yes under Community Eligibility Option (CEO),585,,331,Prekindergarten,8th Grade
LA,A.C. Steere Elementary School,220030000198,Caddo Parish,2200300,Shreveport,71105,Shreveport,71105,Yes participating without using any Provision or the CEO,435,,187,Prekindergarten,5th Grade
MN,A.C.G.C. ELEMENTARY,270010602568,A.C.G.C. Public School District,2700106,ATWATER,56209,ATWATER,56209,Yes participating without using any Provision or the CEO,361,141,195,Prekindergarten,4th Grade
MN,A.C.G.C. SECONDARY,270010602570,A.C.G.C. Public School District,2700106,GROVE CITY,56243,GROVE CITY,56243,Yes participating without using any Provision or the CEO,389,136,185,7th Grade,12th Grade
FL,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,120201203140,FAU LAB SCH,1202012,BOCA RATON,33431,BOCA RATON,33431,Yes participating without using any Provision or the CEO,1333,213,297,Kindergarten,12th Grade
IL,A.E.R.O. Therapeutic Center,170002406893,A E R O  Spec Educ Coop,1700024,Burbank,60459,Burbank,60459,Yes under Community Eligibility Option (CEO),,,,,
MN,A.I. JEDLICKA MIDDLE SCHOOL,273009001552,PROCTOR PUBLIC SCHOOL DISTRICT,2730090,PROCTOR,55810,PROCTOR,55810,Yes participating without using any Provision or the CEO,433,116,153,6th Grade,8th Grade
GA,A.L. Burruss Elementary School,130351001338,Marietta City,1303510,Marietta,30064,Marietta,30064,Yes participating without using any Provision or the CEO,388,73,213,Prekindergarten,5th Grade
IL,A.N.C.H.O.R. Academy,170651006780,Cook County SD 130,1706510,Blue Island,60406,Blue Island,60406,No,0,,,3rd Grade,8th Grade
FL,A.QUINN JONES CENTER,120003000004,ALACHUA,1200030,GAINESVILLE,32601,GAINESVILLE,32601,Yes under Community Eligibility Option (CEO),91,83,83,6th Grade,12th Grade
MN,A/O PROGRAM,270226403259,NORTHEAST METRO 916,2702264,STILLWATER,55082,WHITE BEAR LAKE,55110,Yes participating without using any Provision or the CEO,9,3,3,Prekindergarten,1st Grade
MI,AA Rather School,261925005600,Ionia Public Schools,2619250,IONIA,48846,IONIA,48846,Yes participating without using any Provision or the CEO,321,,176,Prekindergarten,5th Grade
MD,AACPS Virtual Academy,240006001765,Anne Arundel County Public Schools,2400060,Arnold,21012,Arnold,21012,Yes participating without using any Provision or the CEO,427,43,58,3rd Grade,12th Grade
AZ,AAEC - Paradise Valley,040010601892,Arizona Agribusiness & Equine Center Inc. (4331),0400106,PHOENIX,85050,PHOENIX,85050,No,300,,,9th Grade,12th Grade
AZ,AAEC - SMCC Campus,040041701588,Arizona Agribusiness & Equine Center Inc. (85816),0400417,PHOENIX,85042,PHOENIX,85012,Yes participating without using any Provision or the CEO,469,253,,9th Grade,12th Grade
AZ,AAEC Online,040096903751,Arizona Agribusiness & Equine Center INC. (134379),0400969,Mesa,85202,PHOENIX,85012,No,63,,,9th Grade,12th Grade
AZ,AAEC Show Low,040083803832,Arizona Agribusiness & Equine Center Inc. (91131),0400838,SHOW LOW,85901,PHOENIX,85012,No,0,,,9th Grade,12th Grade
GA,Aaron Cohn Middle School,130387004127,Muscogee County,1303870,Midland,31820,Midland,31820,Yes participating without using any Provision or the CEO,549,92,243,6th Grade,8th Grade
GA,Aaron Cohn Regional Youth Detention Center,130002603806,Department of Juvenile Justice,1300026,Midland,31820,Midland,31820,Yes participating without using any Provision or the CEO,17,14,14,5th Grade,12th Grade
AL,Abbeville Elementary School,010174000602,Henry County,0101740,Abbeville,36310,Abbeville,36310,Yes under Community Eligibility Option (CEO),374,293,309,Prekindergarten,6th Grade
LA,Abbeville High School,220180001385,Vermilion Parish,2201800,Abbeville,70510,Abbeville,70510,Yes under Community Eligibility Option (CEO),597,,486,9th Grade,12th Grade
AL,Abbeville High School,010174000600,Henry County,0101740,Abbeville,36310,Abbeville,36310,Yes under Community Eligibility Option (CEO),291,248,256,7th Grade,12th Grade
MA,Abbot Elementary,251266000163,Westford,2512660,Westford,1886,Westford,1886,Yes participating without using any Provision or the CEO,372,28,,3rd Grade,5th Grade
MI,Abbot School,260282004004,Ann Arbor Public Schools,2602820,ANN ARBOR,48103,ANN ARBOR,48103,Yes under Community Eligibility Option (CEO),333,,133,Kindergarten,5th Grade
MA,Abbott Memorial,250492000706,Florida,2504920,Florida,1247,Florida,1247,Yes under Community Eligibility Option (CEO),85,29,,Prekindergarten,8th Grade
CA,Abbott Middle,063492005896,San Mateo-Foster City,0634920,San Mateo,94403,San Mateo,94403,Yes under Provision 2,698,247,399,6th Grade,8th Grade
IL,Abbott Middle School,171371001664,SD U-46,1713710,Elgin,60123,Elgin,60123,Yes under Community Eligibility Option (CEO),560,,356,7th Grade,8th Grade
GA,Abbotts Hill Elementary School,130228002378,Fulton County,1302280,Duluth,30097,Duluth,30097,Yes participating without using any Provision or the CEO,559,22,95,Prekindergarten,5th Grade
MD,Abbottston Elementary,240009000143,Baltimore City Public Schools,2400090,Baltimore,21218,Baltimore,21218,Yes under Community Eligibility Option (CEO),338,295,295,Prekindergarten,5th Grade
MA,Abby Kelley Foster Charter Public School,250005101247,Abby Kelley Foster Charter Public (District),2500051,Worcester,1606,Worcester,1606,Yes under Community Eligibility Option (CEO),1421,820,,Kindergarten,12th Grade
CA,Abby Reinke Elementary,060002808271,Temecula Valley Unified,0600028,Temecula,92592,Temecula,92592,Yes participating without using any Provision or the CEO,601,106,188,Kindergarten,5th Grade
AL,ABC Elementary,010351001342,Wilcox County,0103510,Alberta,36720,Alberta,36720,Yes under Community Eligibility Option (CEO),107,89,91,Prekindergarten,6th Grade
CA,ABC Secondary (Alternative),060162010232,ABC Unified,0601620,Cerritos,90703,Cerritos,90703,,29,16,24,7th Grade,12th Grade
CA,ABC Virtual Academy,060162014664,ABC Unified,0601620,Cerritos,90703,Cerritos,90703,,67,30,49,Kindergarten,8th Grade
MN,ABE Diploma Program,273239002514,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,APPLE VALLEY,55124,APPLE VALLEY,55124,No,56,19,22,9th Grade,12th Grade
KS,Abe Hubert Elementary School,200639001170,Garden City,2006390,Garden City,67846,Garden City,67846,Yes participating without using any Provision or the CEO,307,,283,Kindergarten,6th Grade
IL,Abe Lincoln Elem School,171020001235,Cicero SD 99,1710200,Cicero,60804,Cicero,60804,Yes under Community Eligibility Option (CEO),715,,556,Prekindergarten,6th Grade
MI,Aberdeen Academy,261644008574,Grand Rapids Public Schools,2616440,GRAND RAPIDS,49505,Grand Rapids,49505,Yes under Community Eligibility Option (CEO),239,,183,Prekindergarten,8th Grade
