st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
NV,100 Academy of Engineering and Technology ES,320006000670,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),168,125,168,Kindergarten,5th Grade
NV,100 Academy of Engineering and Technology MS,320006000756,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),71,55,71,6th Grade,8th Grade
WA,10th Street School,530486002475,Marysville School District,5304860,Marysville,98271,Marysville,98271,Yes under Community Eligibility Option (CEO),163,52,58,6th Grade,8th Grade
NE,18+ PROGRAM,318009002335,EDUCATIONAL SERVICE UNIT 09,3180090,HASTINGS,68901,HASTINGS,68901,No,0,,,9th Grade,12th Grade
NE,1R ELEMENTARY,317458000209,NORTHWEST PUBLIC SCHOOLS,3174580,GRAND ISLAND,68803,GRAND ISLAND,68803,Yes participating without using any Provision or the CEO,196,,55,Prekindergarten,8th Grade
PA,21st Century Cyber CS,420009100597,21st Century Cyber CS,4200091,West Chester,19380,West Chester,19380,No,1103,,57,6th Grade,12th Grade
WI,21st Century Preparatory School,550004502575,Racine Charter One Inc,5500045,Racine,53404,Racine,53404,Yes under Community Eligibility Option (CEO),512,,39,Prekindergarten,8th Grade
NM,21ST CENTURY PUBLIC ACADEMY,350018700811,21ST CENTURY PUBLIC ACADEMY,3500187,ALBUQUERQUE,87110,ALBUQUERQUE,87110,Yes under Community Eligibility Option (CEO),378,84,192,1st Grade,8th Grade
MT,227 Academy,300065501146,East Helena K-12,3000655,East Helena,59635,East Helena,59635,,,,,,
NE,3-YEAR-OLD PRESCHOOL,317718002379,SOUTHERN SCHOOL DISTRICT 1,3177180,BLUE SPRING,68318,BLUE SPRING,68318,No,0,,,Prekindergarten,Prekindergarten
NY,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),360010206477,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,ASTORIA,11102,ASTORIA,11102,Yes under Community Eligibility Option (CEO),513,,142,Kindergarten,8th Grade
RI,360 High School,440090000492,Providence,4400900,Providence,02905,Providence,02905,Yes under Community Eligibility Option (CEO),360,179,297,9th Grade,12th Grade
OH,3EA,390487306154,Northridge Local,3904873,Dayton,45414,Dayton,45414,No,2,,,6th Grade,9th Grade
WY,4-J Elementary School,560147000454,Campbell County School District #1,5601470,Gillette,82718,Gillette,82717,Yes participating without using any Provision or the CEO,36,3,5,Kindergarten,6th Grade
NY,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),360007705767,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10010,NEW YORK,10010,,177,,137,Prekindergarten,8th Grade
WI,4K Center for Literacy,550747003029,Kimberly Area School District,5507470,Kimberly,54136,Kimberly,54136,No,290,,39,Prekindergarten,Prekindergarten
WI,4K Community-Based,551266002889,Reedsburg School District,5512660,Reedsburg,53959,Reedsburg,53959,No,40,,28,Prekindergarten,Prekindergarten
WI,4K McFarland,550891002902,McFarland School District,5508910,McFarland,53558,McFarland,53558,No,120,,13,Prekindergarten,Prekindergarten
WI,4K PK Off Site,550852002475,Madison Metropolitan School District,5508520,Madison,53703,Madison,53703,No,594,,29,Prekindergarten,Prekindergarten
OK,4TH AND 5TH GRADE CENTER,400957002918,DEER CREEK,4009570,Edmond,73012,Edmond,73012,Yes participating without using any Provision or the CEO,1239,267,316,4th Grade,5th Grade
OR,509J On-Line,410674001907,Jefferson County SD 509J,4106740,Madras,97741,Madras,97741,No,25,,,Kindergarten,8th Grade
WV,6-12 Summers County Comprehensive HS,540135001603,SUMMERS COUNTY SCHOOLS,5401350,Hinton,25951,Hinton,25951,Yes under Community Eligibility Option (CEO),669,435,,6th Grade,12th Grade
OK,6TH AND 7TH GRADE ACADEMY,402097000599,MUSKOGEE,4020970,Muskogee,74403,Muskogee,74403,Yes under Community Eligibility Option (CEO),544,415,498,6th Grade,7th Grade
