ncessch,lcity,website,is_school_wide_title1,lzip,title1_school_status,is_title1_eligible,total_students,level,fl_eligible,nslp_direct_certification,rl_eligible,frl_eligible,national_school_lunch_program,sch_name,phone,st,county,gslo,gshi,g_pk_offered,g_kg_offered,g_1_offered,g_2_offered,g_3_offered,g_4_offered,g_5_offered,g_6_offered,g_7_offered,g_8_offered,g_9_offered,g_10_offered,g_11_offered,g_12_offered,g_13_offered,g_ug_offered,g_ae_offered,nogrades,sch_type,sy_status,updated_status,effective_date,lea_name,mcity,mzip,mstate
250732002639,Marlborough,http://www.mps-edu.org,1-Yes,01752,5-Title I schoolwide school,1-Yes,1077,Middle,,633,,,Yes under Community Eligibility Option (CEO),1 LT Charles W. Whitcomb School,5084603502,MA,Middlesex County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/03/2022,Marlborough,Marlborough,01752,MA
320006000756,N  Las Vegas,,1-Yes,89032,5-Title I schoolwide school,1-Yes,147,Middle,147,122,0,147,Yes under Community Eligibility Option (CEO),100 Academy of Engineering and Technology MS,7026362551,NV,Clark County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/12/2022,CLARK COUNTY SCHOOL DISTRICT,N  Las Vegas,89032,NV
530486002475,Marysville,http://msd25.org,,98271,6-Not a Title I school,2-No,169,Middle,46,18,15,61,Yes participating without using any Provision or the CEO,10th Street School,3609650400,WA,Snohomish County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,07/01/2021,Marysville School District,Marysville,98271,WA
270819004415,CHASKA,http://www.district112.org,2-No,55318,1-Title I targeted assistance eligible school-No program,1-Yes,45,High,9,,0,9,No,112 ALC Independent Study,9525566192,MN,Carver County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA,55318,MN
270819004622,CHASKA,http://www.district112.org,1-Yes,55318,4-Title I schoolwide eligible school-No program,1-Yes,243,Middle,66,,16,82,No,112 ALC MIDDLE SCHOOL,9525566192,MN,Carver County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA,55318,MN
270819005118,CHASKA,http://www.district112.org,,55318,6-Not a Title I school,2-No,0,High,,,,,No,112 ALC Seat-Based,9525566192,MN,Carver County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA,55318,MN
120144008944,ORLANDO,,,32801,,,,Not Reported,,,,,,114-E-W-4,4073173200,FL,Orange County,,,,,,,,,,,,,,,,,,,,,1-Regular school,7-Future,7-Future,12/09/2021,ORANGE,ORLANDO,32801,FL
120144008942,ORLANDO,,,32801,,,,Not Reported,,,,,,129-M-SE-2,4073173200,FL,Orange County,,,,,,,,,,,,,,,,,,,,,1-Regular school,7-Future,7-Future,08/24/2021,ORANGE,ORLANDO,32801,FL
120144008872,ORLANDO,,,32801,6-Not a Title I school,2-No,0,Middle,,,,,No,132-M-W-4,4073173200,FL,Orange County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,3-New,3-New,11/17/2021,ORANGE,ORLANDO,32801,FL
318009002335,HASTINGS,,,68901,6-Not a Title I school,2-No,0,High,,,,,No,18+ PROGRAM,4024635611,NE,Adams County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-Special education school,1-Open,1-Open,01/18/2022,EDUCATIONAL SERVICE UNIT 09,HASTINGS,68901,NE
273239005352,ROSEMOUNT,,,55068,6-Not a Title I school,2-No,148,High,28,,4,32,No,196Online High School,6514237915,MN,Dakota County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,ROSEMOUNT-APPLE VALLEY-EAGAN,ROSEMOUNT,55068,MN
273239005351,ROSEMOUNT,,,55068,6-Not a Title I school,2-No,123,Middle,25,,3,28,No,196Online Middle School,6514237915,MN,Dakota County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,ROSEMOUNT-APPLE VALLEY-EAGAN,ROSEMOUNT,55068,MN
271503005356,INVER GROVE HEIGHTS,,,55076,6-Not a Title I school,2-No,49,High,17,,4,21,No,199 Online High School,6513067009,MN,Dakota County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,INVER GROVE HEIGHTS SCHOOLS,INVER GROVE HEIGHTS,55076,MN
271503005355,INVER GROVE HEIGHTS,,,55076,6-Not a Title I school,2-No,34,Middle,12,,5,17,No,199 Online Middle School,6513067204,MN,Dakota County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,4-Added,4-Added,02/23/2022,INVER GROVE HEIGHTS SCHOOLS,INVER GROVE HEIGHTS,55076,MN
